央视移动,#genre#
厦门3套,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/1.m3u8

泉州新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227165/1.m3u8

南平新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227066/1.m3u8

南平公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8

福州综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227157/1.m3u8

三明新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227173/1.m3u8

仙游电视台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227161/1.m3u8

宁德新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227196/1.m3u8

平潭电视台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227218/1.m3u8

漳州新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227169/1.m3u8

龙岩新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227200/1.m3u8

综艺移动,#genre#

NewTV动作电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8

NewTV惊悚悬疑,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/1.m3u8

NewTV古装剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8

NewTV爱情喜剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8

NewTV潮妈辣婆,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226107/1.m3u8

NewTV明星大片,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8

NewTV家庭剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8

NewTV金牌综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8

NewTV精品大剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225889/1.m3u8

NewTV精品纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225888/1.m3u8

NewTV精品体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8

NewTV军旅剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225887/1.m3u8

NewTV军事评论,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8

NewTV武搏世界,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8

NewTV怡伴健康,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225883/1.m3u8

NewTV中国功夫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8

纯享4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/1.m3u8

芒果TV,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/1.m3u8

黑莓电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8

乐游频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227083/1.m3u8

生活时尚,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227091/1.m3u8

游戏风云,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227075/1.m3u8

欢笑剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227145/1.m3u8

都市剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227204/1.m3u8

东方财经,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227087/1.m3u8

法治天地,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227176/1.m3u8

金色学堂,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227208/1.m3u8

快乐垂钓,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226940/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227028/1.m3u8

炫舞未来,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226699/1.m3u8

第一财经,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8

体育赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226599/1.m3u8

先锋乒羽,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226851/1.m3u8

茶频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226859/1.m3u8

熊猫频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226715/1.m3u8

黑莓动画,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/1.m3u8

